run_id,episode,train_reward,eval_avg_reward,eval_avg_energy,eval_avg_comfort_violation,epsilon,learning_rate,gamma,epsilon_decay
qlearning_v1,130,-702.6882,,,,0.521195,0.1,0.95,0.995
qlearning_v1,131,-759.0403,,,,0.518589,0.1,0.95,0.995
qlearning_v1,132,-816.0405,,,,0.515996,0.1,0.95,0.995
qlearning_v1,133,-808.8666,,,,0.513416,0.1,0.95,0.995
qlearning_v1,134,-782.4046,,,,0.510849,0.1,0.95,0.995
qlearning_v1,135,-632.8972,,,,0.508295,0.1,0.95,0.995
qlearning_v1,136,-788.0004,,,,0.505754,0.1,0.95,0.995
qlearning_v1,137,-629.9508,,,,0.503225,0.1,0.95,0.995
qlearning_v1,138,-744.0861,,,,0.500709,0.1,0.95,0.995
qlearning_v1,139,-1002.4463,,,,0.498205,0.1,0.95,0.995
qlearning_v1,140,-739.2654,,,,0.495714,0.1,0.95,0.995
qlearning_v1,141,-777.7821,,,,0.493236,0.1,0.95,0.995
qlearning_v1,142,-699.2577,,,,0.490769,0.1,0.95,0.995
qlearning_v1,143,-829.8021,,,,0.488316,0.1,0.95,0.995
qlearning_v1,144,-757.4114,,,,0.485874,0.1,0.95,0.995
qlearning_v1,145,-721.0489,,,,0.483445,0.1,0.95,0.995
qlearning_v1,146,-911.1094,,,,0.481027,0.1,0.95,0.995
qlearning_v1,147,-872.8086,,,,0.478622,0.1,0.95,0.995
qlearning_v1,148,-908.9159,,,,0.476229,0.1,0.95,0.995
qlearning_v1,149,-893.1272,,,,0.473848,0.1,0.95,0.995
qlearning_v1,150,-781.3418,-1217.6541,92.95,1063.2791,0.471479,0.1,0.95,0.995
qlearning_v1,151,-785.1156,,,,0.469121,0.1,0.95,0.995
qlearning_v1,152,-656.5524,,,,0.466776,0.1,0.95,0.995
qlearning_v1,153,-805.331,,,,0.464442,0.1,0.95,0.995
qlearning_v1,154,-865.6153,,,,0.46212,0.1,0.95,0.995
qlearning_v1,155,-835.3903,,,,0.459809,0.1,0.95,0.995
qlearning_v1,156,-791.9534,,,,0.45751,0.1,0.95,0.995
qlearning_v1,157,-891.4343,,,,0.455222,0.1,0.95,0.995
qlearning_v1,158,-750.1293,,,,0.452946,0.1,0.95,0.995
qlearning_v1,159,-745.6982,,,,0.450682,0.1,0.95,0.995
qlearning_v1,160,-832.9636,,,,0.448428,0.1,0.95,0.995
qlearning_v1,161,-720.3618,,,,0.446186,0.1,0.95,0.995
qlearning_v1,162,-647.6949,,,,0.443955,0.1,0.95,0.995
qlearning_v1,163,-779.4199,,,,0.441735,0.1,0.95,0.995
qlearning_v1,164,-901.162,,,,0.439527,0.1,0.95,0.995
qlearning_v1,165,-855.831,,,,0.437329,0.1,0.95,0.995
qlearning_v1,166,-815.8183,,,,0.435142,0.1,0.95,0.995
qlearning_v1,167,-779.2784,,,,0.432967,0.1,0.95,0.995
qlearning_v1,168,-762.365,,,,0.430802,0.1,0.95,0.995
qlearning_v1,169,-881.2883,,,,0.428648,0.1,0.95,0.995
qlearning_v1,170,-758.8104,,,,0.426505,0.1,0.95,0.995
qlearning_v1,171,-887.1063,,,,0.424372,0.1,0.95,0.995
qlearning_v1,172,-719.7577,,,,0.42225,0.1,0.95,0.995
qlearning_v1,173,-885.5752,,,,0.420139,0.1,0.95,0.995
qlearning_v1,174,-720.4046,,,,0.418038,0.1,0.95,0.995
qlearning_v1,175,-775.4417,,,,0.415948,0.1,0.95,0.995
qlearning_v1,176,-712.2021,,,,0.413868,0.1,0.95,0.995
qlearning_v1,177,-683.7476,,,,0.411799,0.1,0.95,0.995
qlearning_v1,178,-574.4397,,,,0.40974,0.1,0.95,0.995
qlearning_v1,179,-777.927,,,,0.407691,0.1,0.95,0.995
qlearning_v1,180,-616.54,,,,0.405653,0.1,0.95,0.995
qlearning_v1,181,-766.6068,,,,0.403625,0.1,0.95,0.995
qlearning_v1,182,-616.3976,,,,0.401606,0.1,0.95,0.995
qlearning_v1,183,-665.0489,,,,0.399598,0.1,0.95,0.995
qlearning_v1,184,-786.079,,,,0.3976,0.1,0.95,0.995
qlearning_v1,185,-853.9336,,,,0.395612,0.1,0.95,0.995
qlearning_v1,186,-752.2146,,,,0.393634,0.1,0.95,0.995
qlearning_v1,187,-780.3605,,,,0.391666,0.1,0.95,0.995
qlearning_v1,188,-841.7328,,,,0.389708,0.1,0.95,0.995
qlearning_v1,189,-693.0196,,,,0.387759,0.1,0.95,0.995
qlearning_v1,190,-717.2541,,,,0.385821,0.1,0.95,0.995
qlearning_v1,191,-723.6438,,,,0.383891,0.1,0.95,0.995
qlearning_v1,192,-700.0659,,,,0.381972,0.1,0.95,0.995
qlearning_v1,193,-670.116,,,,0.380062,0.1,0.95,0.995
qlearning_v1,194,-856.3023,,,,0.378162,0.1,0.95,0.995
qlearning_v1,195,-715.0434,,,,0.376271,0.1,0.95,0.995
qlearning_v1,196,-706.3114,,,,0.37439,0.1,0.95,0.995
qlearning_v1,197,-762.483,,,,0.372518,0.1,0.95,0.995
qlearning_v1,198,-655.4884,,,,0.370655,0.1,0.95,0.995
qlearning_v1,199,-482.3998,,,,0.368802,0.1,0.95,0.995
qlearning_v1,200,-530.1831,-667.2896,96.9,522.2396,0.366958,0.1,0.95,0.995
qlearning_v1,201,-888.4337,,,,0.365123,0.1,0.95,0.995
qlearning_v1,202,-789.6808,,,,0.363297,0.1,0.95,0.995
qlearning_v1,203,-845.8457,,,,0.361481,0.1,0.95,0.995
qlearning_v1,204,-635.652,,,,0.359674,0.1,0.95,0.995
qlearning_v1,205,-731.8384,,,,0.357875,0.1,0.95,0.995
qlearning_v1,206,-770.2768,,,,0.356086,0.1,0.95,0.995
qlearning_v1,207,-661.5552,,,,0.354305,0.1,0.95,0.995
qlearning_v1,208,-775.0992,,,,0.352534,0.1,0.95,0.995
qlearning_v1,209,-889.8592,,,,0.350771,0.1,0.95,0.995
qlearning_v1,210,-733.7076,,,,0.349017,0.1,0.95,0.995
qlearning_v1,211,-857.1897,,,,0.347272,0.1,0.95,0.995
qlearning_v1,212,-817.3615,,,,0.345536,0.1,0.95,0.995
qlearning_v1,213,-598.7124,,,,0.343808,0.1,0.95,0.995
qlearning_v1,214,-759.0142,,,,0.342089,0.1,0.95,0.995
qlearning_v1,215,-749.8808,,,,0.340379,0.1,0.95,0.995
qlearning_v1,216,-614.3706,,,,0.338677,0.1,0.95,0.995
qlearning_v1,217,-959.1382,,,,0.336983,0.1,0.95,0.995
qlearning_v1,218,-586.8625,,,,0.335298,0.1,0.95,0.995
qlearning_v1,219,-644.4064,,,,0.333622,0.1,0.95,0.995
qlearning_v1,220,-711.1022,,,,0.331954,0.1,0.95,0.995
qlearning_v1,221,-726.4987,,,,0.330294,0.1,0.95,0.995
qlearning_v1,222,-739.5721,,,,0.328643,0.1,0.95,0.995
qlearning_v1,223,-768.8592,,,,0.326999,0.1,0.95,0.995
qlearning_v1,224,-846.9788,,,,0.325364,0.1,0.95,0.995
qlearning_v1,225,-769.8492,,,,0.323738,0.1,0.95,0.995
qlearning_v1,226,-789.1082,,,,0.322119,0.1,0.95,0.995
qlearning_v1,227,-630.3698,,,,0.320508,0.1,0.95,0.995
qlearning_v1,228,-604.7678,,,,0.318906,0.1,0.95,0.995
qlearning_v1,229,-836.7384,,,,0.317311,0.1,0.95,0.995
qlearning_v1,230,-914.675,,,,0.315725,0.1,0.95,0.995
qlearning_v1,231,-626.7368,,,,0.314146,0.1,0.95,0.995
qlearning_v1,232,-876.6439,,,,0.312575,0.1,0.95,0.995
qlearning_v1,233,-622.0195,,,,0.311012,0.1,0.95,0.995
qlearning_v1,234,-607.9945,,,,0.309457,0.1,0.95,0.995
qlearning_v1,235,-701.7511,,,,0.30791,0.1,0.95,0.995
qlearning_v1,236,-658.6118,,,,0.306371,0.1,0.95,0.995
qlearning_v1,237,-696.5401,,,,0.304839,0.1,0.95,0.995
qlearning_v1,238,-751.4374,,,,0.303315,0.1,0.95,0.995
qlearning_v1,239,-659.3905,,,,0.301798,0.1,0.95,0.995
qlearning_v1,240,-728.8206,,,,0.300289,0.1,0.95,0.995
qlearning_v1,241,-733.7352,,,,0.298788,0.1,0.95,0.995
qlearning_v1,242,-777.6258,,,,0.297294,0.1,0.95,0.995
qlearning_v1,243,-811.0379,,,,0.295807,0.1,0.95,0.995
qlearning_v1,244,-695.1186,,,,0.294328,0.1,0.95,0.995
qlearning_v1,245,-744.585,,,,0.292856,0.1,0.95,0.995
qlearning_v1,246,-711.5425,,,,0.291392,0.1,0.95,0.995
qlearning_v1,247,-720.0359,,,,0.289935,0.1,0.95,0.995
qlearning_v1,248,-620.8441,,,,0.288486,0.1,0.95,0.995
qlearning_v1,249,-659.1466,,,,0.287043,0.1,0.95,0.995
qlearning_v1,250,-754.401,-719.5796,127.25,506.7546,0.285608,0.1,0.95,0.995
qlearning_v1,251,-704.5892,,,,0.28418,0.1,0.95,0.995
qlearning_v1,252,-753.3931,,,,0.282759,0.1,0.95,0.995
qlearning_v1,253,-678.7709,,,,0.281345,0.1,0.95,0.995
qlearning_v1,254,-650.2334,,,,0.279938,0.1,0.95,0.995
qlearning_v1,255,-705.7876,,,,0.278539,0.1,0.95,0.995
qlearning_v1,256,-637.5935,,,,0.277146,0.1,0.95,0.995
qlearning_v1,257,-713.6756,,,,0.27576,0.1,0.95,0.995
qlearning_v1,258,-716.2068,,,,0.274382,0.1,0.95,0.995
qlearning_v1,259,-655.5753,,,,0.27301,0.1,0.95,0.995
qlearning_v1,260,-582.9118,,,,0.271645,0.1,0.95,0.995
qlearning_v1,261,-798.4225,,,,0.270286,0.1,0.95,0.995
qlearning_v1,262,-678.6956,,,,0.268935,0.1,0.95,0.995
qlearning_v1,263,-855.3297,,,,0.26759,0.1,0.95,0.995
qlearning_v1,264,-603.8059,,,,0.266252,0.1,0.95,0.995
qlearning_v1,265,-811.2354,,,,0.264921,0.1,0.95,0.995
qlearning_v1,266,-919.3827,,,,0.263596,0.1,0.95,0.995
qlearning_v1,267,-749.0546,,,,0.262278,0.1,0.95,0.995
qlearning_v1,268,-680.0733,,,,0.260967,0.1,0.95,0.995
qlearning_v1,269,-702.9414,,,,0.259662,0.1,0.95,0.995
qlearning_v1,270,-803.6679,,,,0.258364,0.1,0.95,0.995
qlearning_v1,271,-718.6439,,,,0.257072,0.1,0.95,0.995
qlearning_v1,272,-752.0041,,,,0.255787,0.1,0.95,0.995
qlearning_v1,273,-827.212,,,,0.254508,0.1,0.95,0.995
qlearning_v1,274,-721.6561,,,,0.253235,0.1,0.95,0.995
qlearning_v1,275,-844.8412,,,,0.251969,0.1,0.95,0.995
qlearning_v1,276,-526.7991,,,,0.250709,0.1,0.95,0.995
qlearning_v1,277,-663.1793,,,,0.249456,0.1,0.95,0.995
qlearning_v1,278,-625.8124,,,,0.248208,0.1,0.95,0.995
qlearning_v1,279,-771.6319,,,,0.246967,0.1,0.95,0.995
qlearning_v1,280,-713.1076,,,,0.245733,0.1,0.95,0.995
qlearning_v1,281,-762.3158,,,,0.244504,0.1,0.95,0.995
qlearning_v1,282,-567.206,,,,0.243281,0.1,0.95,0.995
qlearning_v1,283,-911.1215,,,,0.242065,0.1,0.95,0.995
qlearning_v1,284,-815.7429,,,,0.240855,0.1,0.95,0.995
qlearning_v1,285,-690.4022,,,,0.23965,0.1,0.95,0.995
qlearning_v1,286,-706.347,,,,0.238452,0.1,0.95,0.995
qlearning_v1,287,-712.8687,,,,0.23726,0.1,0.95,0.995
qlearning_v1,288,-662.3454,,,,0.236074,0.1,0.95,0.995
qlearning_v1,289,-623.6072,,,,0.234893,0.1,0.95,0.995
qlearning_v1,290,-711.7846,,,,0.233719,0.1,0.95,0.995
qlearning_v1,291,-697.1056,,,,0.23255,0.1,0.95,0.995
qlearning_v1,292,-586.1915,,,,0.231387,0.1,0.95,0.995
qlearning_v1,293,-668.1757,,,,0.23023,0.1,0.95,0.995
qlearning_v1,294,-645.5579,,,,0.229079,0.1,0.95,0.995
qlearning_v1,295,-734.4359,,,,0.227934,0.1,0.95,0.995
qlearning_v1,296,-827.259,,,,0.226794,0.1,0.95,0.995
qlearning_v1,297,-705.181,,,,0.22566,0.1,0.95,0.995
qlearning_v1,298,-738.0073,,,,0.224532,0.1,0.95,0.995
qlearning_v1,299,-698.9273,,,,0.223409,0.1,0.95,0.995
qlearning_v1,300,-676.3468,-670.1629,163.4,380.9129,0.222292,0.1,0.95,0.995
qlearning_v1,301,-748.1496,,,,0.221181,0.1,0.95,0.995
qlearning_v1,302,-629.8153,,,,0.220075,0.1,0.95,0.995
qlearning_v1,303,-686.4187,,,,0.218974,0.1,0.95,0.995
qlearning_v1,304,-689.698,,,,0.21788,0.1,0.95,0.995
qlearning_v1,305,-683.9459,,,,0.21679,0.1,0.95,0.995
qlearning_v1,306,-805.0779,,,,0.215706,0.1,0.95,0.995
